EV1-MAURER-2021-04-02:08-37-06-003/0:2:4-0:2:7.wav,they're trying to write a note to me
EV1-MAURER-2021-04-02:08-37-06-003/0:2:23-0:2:25.wav,okay
EV1-MAURER-2021-04-02:08-37-06-003/0:2:26-0:2:31.wav,there was a specific order for it um
EV1-MAURER-2021-04-02:08-37-06-003/0:3:47-0:4:8.wav,yep I see 4 okay kind of rotate it to your right to my right clockwise or counter clockwise uh the way you're doing it is correct all right I see number 4 okay and ev2 the uh scoop yeah I see that's definitely in the way yeah so the scoop is supposed to be installed on the CLA micro Square
EV1-MAURER-2021-04-02:08-37-06-003/0:4:57-0:5:3.wav,so basically if you can line up either the barber pole or the solid block with the Stow ring
EV1-MAURER-2021-04-02:08-37-06-003/0:5:25-0:5:27.wav,2
EV1-MAURER-2021-04-02:08-37-06-003/0:7:10-0:7:12.wav,copy
EV1-MAURER-2021-04-02:08-37-06-003/0:7:12-0:7:16.wav,but not twisted
EV1-MAURER-2021-04-02:08-37-06-003/0:8:48-0:8:50.wav,sorry
EV1-MAURER-2021-04-02:08-37-06-003/0:8:53-0:8:57.wav,okay now I have control on the handle okay good night
EV1-MAURER-2021-04-02:08-37-06-003/0:17:32-0:17:37.wav,all right hotel hotel moving you there now
EV1-MAURER-2021-04-02:08-37-06-003/0:24:3-0:24:9.wav,okay alright for this out thanks if you can kind of just put it off there you go right where I got it
EV1-MAURER-2021-04-02:08-37-06-003/0:24:38-0:24:40.wav,okay great job
EV1-MAURER-2021-04-02:08-37-06-003/0:26:10-0:26:13.wav,copy that ev2
EV1-MAURER-2021-04-02:08-37-06-003/0:30:43-0:30:46.wav,affirm
EV1-MAURER-2021-04-02:08-37-06-002/0:44:13-0:44:15.wav,excuse me
EV1-MAURER-2021-04-02:08-37-06-003/0:31:50-0:32:7.wav,and if you want you can put that back back on your brt anesthesia can you bring me up to 30 please
EV1-MAURER-2021-04-02:08-37-06-003/0:33:2-0:33:8.wav,sorry correction 3652 or 1 3651
EV1-MAURER-2021-04-02:08-37-06-003/0:34:56-0:34:58.wav,there
EV1-MAURER-2021-04-02:08-37-06-003/0:35:19-0:35:23.wav,um just to your right Matias just getting the sorry
EV1-MAURER-2021-04-02:08-37-06-003/0:1:2-0:1:8.wav,and divers for you might need a little help keeping my feet up while I swing over
